PlantName,Disease,SetType,FileName,Path
Gauva,Canker,,DSC_0114.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0114.JPG
Gauva,Canker,,DSC_0115.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0115.JPG
Gauva,Canker,,DSC_0116.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0116.JPG
Gauva,Canker,,DSC_0117.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0117.JPG
Gauva,Canker,,DSC_0118.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0118.JPG
Gauva,Canker,,DSC_0119.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0119.JPG
Gauva,Canker,,DSC_0120.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0120.JPG
Gauva,Canker,,DSC_0121.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0121.JPG
Gauva,Canker,,DSC_0122.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0122.JPG
Gauva,Canker,,DSC_0123.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0123.JPG
Gauva,Canker,,DSC_0124.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0124.JPG
Gauva,Canker,,DSC_0125.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0125.JPG
Gauva,Canker,,DSC_0126.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0126.JPG
Gauva,Canker,,DSC_0127.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0127.JPG
Gauva,Canker,,DSC_0128.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0128.JPG
Gauva,Canker,,DSC_0129.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0129.JPG
Gauva,Canker,,DSC_0130.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0130.JPG
Gauva,Canker,,DSC_0131.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0131.JPG
Gauva,Canker,,DSC_0132.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0132.JPG
Gauva,Canker,,DSC_0133.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0133.JPG
Gauva,Canker,,DSC_0134.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0134.JPG
Gauva,Canker,,DSC_0135.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0135.JPG
Gauva,Canker,,DSC_0136.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0136.JPG
Gauva,Canker,,DSC_0137.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0137.JPG
Gauva,Canker,,DSC_0138.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0138.JPG
Gauva,Canker,,DSC_0139.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0139.JPG
Gauva,Canker,,DSC_0140.JPG,C:\Users\maniv\Downloads\gauva\Canker\Canker\DSC_0140.JPG
